OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitu,geoaltitud,lastposupd,lastcontac
31,1590365110,a198e5,39.933999271716097,-85.964022549715935,239.985782594132132,352.981622841068315,-0.650240000000000,EJM16   ,False,False,False,3264,7322.820000000000618,7627.620000000000800,1590365109.938999891281128,1590365109.938999891281128
32,1590365120,a198e5,39.955902099609375,-85.967529296875000,241.517624045782810,353.026359202489289,-0.325120000000000,EJM16   ,False,False,False,3264,7315.200000000000728,7620.000000000000909,1590365119.885999917984009,1590365119.996999979019165
33,1590365130,a198e5,39.977432509600106,-85.970951427112936,247.770351570829064,352.963516847975939,0.000000000000000,EJM16   ,False,False,False,3264,7315.200000000000728,7612.380000000001019,1590365129.888000011444092,1590365129.930000066757202
34,1590365140,a198e5,40.000030517578125,-85.975097656250000,251.524713874606221,350.345022904343807,-0.325120000000000,EJM16   ,False,False,False,3053,7315.200000000000728,7612.380000000001019,1590365139.948999881744385,1590365139.969000101089478
35,1590365150,a198e5,40.021843344478285,-85.980938998135684,254.452240027429752,347.031430689019658,0.000000000000000,EJM16   ,False,False,False,263,7315.200000000000728,7612.380000000001019,1590365149.917000055313110,1590365149.917999982833862
36,1590365160,a198e5,40.044021606445312,-85.988403320312500,259.129175734835144,344.335846462910183,0.325120000000000,EJM16   ,False,False,False,263,7315.200000000000728,7612.380000000001019,1590365159.819000005722046,1590365159.844000101089478
37,1590365170,a198e5,40.066131591796875,-85.997375488281250,260.130174106423453,341.314226977887017,-0.325120000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365169.625000000000000,1590365169.767999887466431
38,1590365180,a198e5,40.088241577148438,-86.007995605468750,259.845150057340902,338.514556682936586,0.000000000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365179.663000106811523,1590365179.943000078201294
39,1590365190,a198e5,40.110443115234375,-86.020324707031250,259.924581020085952,335.565430277568851,-0.325120000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365189.894999980926514,1590365189.990000009536743
40,1590365200,a198e5,40.131408691406250,-86.033752441406250,259.540949348513834,332.622297228668288,0.000000000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365199.943000078201294,1590365199.950000047683716
41,1590365210,a198e5,40.151733398437500,-86.048522949218750,258.955493904085415,329.563310728540216,-0.325120000000000,EJM16   ,False,False,False,1420,7322.820000000000618,7620.000000000000909,1590365209.904999971389771,1590365209.904999971389771
42,1590365220,a198e5,40.170577744306144,-86.063398881392061,258.771468436185728,328.743222942902605,-0.325120000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365219.486000061035156,1590365219.677999973297119
43,1590365230,a198e5,40.190408997616522,-86.078942038796185,258.679918153699191,328.997160404743283,-0.325120000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365229.430000066757202,1590365229.875000000000000
44,1590365240,a198e5,40.211171295683258,-86.095171841708122,258.679918153699191,328.997160404743283,-0.325120000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365239.703000068664551,1590365239.989000082015991
45,1590365250,a198e5,40.231188757944913,-86.110902266068877,257.798559991887089,328.879376564835525,-0.325120000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365249.923000097274780,1590365249.923000097274780
46,1590365260,a198e5,40.249603271484375,-86.125488281250000,256.918298750419410,328.760785111791222,-0.325120000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365259.171999931335449,1590365259.874000072479248
47,1590365270,a198e5,40.270111083984375,-86.141723632812500,256.039145742915707,328.641378737291404,0.000000000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365269.614000082015991,1590365269.987999916076660
48,1590365280,a198e5,40.289703369140625,-86.157348632812500,254.892855695258845,328.619770578059558,0.000000000000000,EJM16   ,False,False,False,1420,7315.200000000000728,7612.380000000001019,1590365279.746000051498413,1590365279.848000049591064
49,1590365290,a198e5,40.309432983398438,-86.173095703125000,254.453800154102879,328.559451870534019,0.000000000000000,EJM16   ,False,False,False,1361,7315.200000000000728,7612.380000000001019,1590365289.823999881744385,1590365289.947000026702881
50,1590365300,a198e5,40.328436382746290,-86.188243519176126,254.453800154102879,328.559451870534019,0.000000000000000,EJM16   ,False,False,False,1361,7315.200000000000728,7612.380000000001019,1590365299.339999914169312,1590365299.861999988555908
51,1590365310,a198e5,40.348434448242188,-86.204223632812500,254.453800154102879,328.559451870534019,0.000000000000000,EJM16   ,False,False,False,1361,7315.200000000000728,7612.380000000001019,1590365309.592000007629395,1590365309.959000110626221
52,1590365320,a198e5,40.367889404296875,-86.219848632812500,254.722519267785685,328.460725032380935,0.000000000000000,EJM16   ,False,False,False,6011,7315.200000000000728,7612.380000000001019,1590365319.700999975204468,1590365319.951999902725220
53,1590365330,a198e5,40.387527465820312,-86.235534667968750,254.722519267785685,328.460725032380935,0.000000000000000,EJM16   ,False,False,False,6011,7315.200000000000728,7612.380000000001019,1590365329.707000017166138,1590365329.799999952316284
54,1590365340,a198e5,40.406890869140625,-86.251098632812500,254.722519267785685,328.460725032380935,0.000000000000000,EJM16   ,False,False,False,6011,7315.200000000000728,7612.380000000001019,1590365339.555000066757202,1590365339.878000020980835
55,1590365350,a198e5,40.426987470206569,-86.267207752574564,254.722519267785685,328.460725032380935,0.000000000000000,EJM16   ,False,False,False,6011,7315.200000000000728,7612.380000000001019,1590365349.823999881744385,1590365349.983999967575073
56,1590365360,a198e5,40.445938110351562,-86.282409667968750,254.722519267785685,328.460725032380935,0.000000000000000,EJM16   ,False,False,False,3557,7315.200000000000728,7612.380000000001019,1590365359.624000072479248,1590365359.943000078201294
57,1590365370,a198e5,40.465858588784428,-86.298418912020622,254.722519267785685,328.460725032380935,0.000000000000000,EJM16   ,False,False,False,3557,7315.200000000000728,7612.380000000001019,1590365369.683000087738037,1590365369.996999979019165
58,1590365380,a198e5,40.484665692862819,-86.313525113192497,255.161112424576487,328.521150060547257,0.000000000000000,EJM16   ,False,False,False,3557,7315.200000000000728,7612.380000000001019,1590365379.523000001907349,1590365379.890000104904175
59,1590365390,a198e5,40.504669189453125,-86.329650878906250,255.430123533362746,328.422736980136222,0.000000000000000,EJM16   ,False,False,False,3557,7315.200000000000728,7612.380000000001019,1590365389.780999898910522,1590365389.957000017166138
60,1590365400,a198e5,40.524654065148304,-86.345735029740752,255.430123533362746,328.422736980136222,0.000000000000000,EJM16   ,False,False,False,3557,7315.200000000000728,7612.380000000001019,1590365399.828999996185303,1590365399.946000099182129
61,1590365410,a198e5,40.543762207031250,-86.361083984375000,255.430123533362746,328.422736980136222,-3.901440000000000,EJM16   ,False,False,False,3557,7299.960000000000036,7597.140000000000327,1590365409.755000114440918,1590365409.755000114440918
62,1590365420,a198e5,40.563217163085938,-86.376770019531250,254.284210394129275,328.400091627730887,-9.753600000000000,EJM16   ,False,False,False,1371,7246.620000000000800,7536.180000000001201,1590365419.805000066757202,1590365419.927999973297119
63,1590365430,a198e5,40.582763671875000,-86.392578125000000,252.430599323778750,328.415446662876263,-11.704320000000001,EJM16   ,False,False,False,1371,7132.320000000000618,7421.880000000001019,1590365429.631000041961670,1590365429.990999937057495
64,1590365440,a198e5,40.601852416992188,-86.407958984375000,249.431079299345868,328.407981006856971,-11.379200000000001,EJM16   ,False,False,False,1371,7025.640000000000327,7315.199999999999818,1590365439.769000053405762,1590365439.974999904632568
65,1590365450,a198e5,40.621296510858052,-86.423638083718060,247.577477809299438,328.423696105970237,-11.379200000000001,EJM16   ,False,False,False,1371,6903.720000000000255,7185.659999999999854,1590365449.812999963760376,1590365449.948999881744385
66,1590365460,a198e5,40.640196719412074,-86.438931551846622,247.139347363287669,328.361244092859067,-11.379200000000001,EJM16   ,False,False,False,1371,6797.039999999999964,7071.359999999999673,1590365459.686000108718872,1590365459.747999906539917
67,1590365470,a198e5,40.659050375728285,-86.454225019975127,246.701511582616064,328.298570330494272,-11.379200000000001,EJM16   ,False,False,False,1371,6682.740000000000691,6949.440000000000509,1590365469.806999921798706,1590365469.937000036239624
68,1590365480,a198e5,40.677703857421875,-86.469299316406250,245.993543923303804,328.337549084943021,-11.379200000000001,EJM16   ,False,False,False,7241,6568.440000000000509,6827.520000000000437,1590365479.785000085830688,1590365479.878999948501587
69,1590365490,a198e5,40.696380615234375,-86.484436035156250,245.555820669066691,328.274540647179492,-11.379200000000001,EJM16   ,False,False,False,7241,6461.760000000000218,6713.220000000000255,1590365489.612999916076660,1590365489.835000038146973
70,1590365500,a198e5,40.715518240201270,-86.499980579723001,244.410173352218237,328.250285686272662,-11.054080000000001,EJM16   ,False,False,False,7241,6347.460000000000036,6598.920000000000073,1590365499.976000070571899,1590365499.976000070571899
71,1590365510,a198e5,40.733871459960938,-86.514892578125000,242.994071494089525,328.328924099382220,-11.054080000000001,EJM16   ,False,True,False,7241,6233.160000000000764,6469.380000000001019,1590365509.710999965667725,1590365509.911999940872192
72,1590365520,a198e5,40.752713478217686,-86.530192982066751,241.410760866284846,328.240519915187178,-11.054080000000001,EJM16   ,False,False,False,7241,6126.480000000000473,6362.700000000000728,1590365519.763000011444092,1590365519.763000011444092
73,1590365530,a198e5,40.770403328588451,-86.544550115411937,240.265175858446042,328.215684294933794,-11.054080000000001,EJM16   ,False,False,False,7241,6019.800000000000182,6256.020000000000437,1590365529.710000038146973,1590365529.710000038146973
74,1590365540,a198e5,40.789443193855931,-86.560030850497185,238.848875628890710,328.295482275117649,-11.054080000000001,EJM16   ,False,False,False,7241,5905.500000000000000,6126.479999999999563,1590365539.953000068664551,1590365539.953000068664551
75,1590365550,a198e5,40.806946835275419,-86.574263139204561,236.995143782050974,328.311019168867233,-10.728960000000001,EJM16   ,False,False,False,1420,5798.820000000000618,6012.180000000000291,1590365549.753999948501587,1590365549.753999948501587
76,1590365560,a198e5,40.824737548828125,-86.588745117187500,234.703764006637925,328.260859204184840,-10.728960000000001,EJM16   ,False,False,False,1420,5692.140000000000327,5905.500000000000000,1590365559.269000053405762,1590365559.737999916076660
77,1590365570,a198e5,40.843917846679688,-86.604370117187500,233.120910221629543,328.168849034665016,-10.403840000000001,EJM16   ,False,False,False,1420,5577.840000000000146,5798.819999999999709,1590365569.996000051498413,1590365569.996000051498413
78,1590365580,a198e5,40.861366401284428,-86.618645407936810,231.267039977558511,328.183755674131703,-10.728960000000001,EJM16   ,False,False,False,1420,5471.159999999999854,5684.520000000000437,1590365579.836999893188477,1590365579.836999893188477
79,1590365590,a198e5,40.878479003906250,-86.633056640625000,230.861581296138070,325.991232413804994,-10.403840000000001,EJM16   ,False,False,False,1420,5372.100000000000364,5570.220000000000255,1590365589.770999908447266,1590365589.892999887466431
80,1590365600,a198e5,40.895324707031250,-86.649169921875000,230.698739424121555,322.337927516503896,-10.728960000000001,EJM16   ,False,False,False,1420,5265.420000000000073,5463.539999999999964,1590365599.729000091552734,1590365599.934000015258789
81,1590365610,a198e5,40.911941528320312,-86.667053222656250,229.837320905034630,319.356975005846323,-10.403840000000001,EJM16   ,False,False,False,1420,5158.740000000000691,5356.860000000000582,1590365609.983999967575073,1590365609.983999967575073
82,1590365620,a198e5,40.926911952131881,-86.685000332919060,229.247006062388095,316.454818176752440,-10.403840000000001,EJM16   ,False,False,False,1420,5059.680000000000291,5242.560000000000400,1590365619.904999971389771,1590365619.904999971389771
83,1590365630,a198e5,40.941741943359375,-86.704589843750000,228.858206252605413,313.815995061862964,-10.403840000000001,EJM16   ,False,False,False,1420,4953.000000000000000,5135.880000000000109,1590365629.990000009536743,1590365629.990000009536743
84,1590365640,a198e5,40.955154418945312,-86.723937988281250,228.820620024215117,311.719119227390593,-10.403840000000001,EJM16   ,False,False,False,1420,4846.320000000000618,5021.580000000000837,1590365639.691999912261963,1590365639.834000110626221
85,1590365650,a198e5,40.969088279594807,-86.744426380504251,228.820620024215117,311.719119227390593,-10.403840000000001,EJM16   ,False,False,False,1420,4739.640000000000327,4922.520000000000437,1590365649.871999979019165,1590365649.871999979019165
86,1590365660,a198e5,40.982821189751057,-86.764588789506377,228.397493586002014,311.987212495816664,-10.403840000000001,EJM16   ,False,False,False,1420,4640.579999999999927,4815.840000000000146,1590365659.789000034332275,1590365659.789000034332275
87,1590365670,a198e5,40.996600652145126,-86.784876043146312,228.436887247110519,311.804986827886353,-10.403840000000001,EJM16   ,False,False,False,1420,4533.900000000000546,4701.540000000000873,1590365669.835999965667725,1590365669.835999965667725
88,1590365680,a198e5,41.010193905587919,-86.804913607510684,226.984096099945020,311.784516008251785,-10.403840000000001,EJM16   ,False,False,False,1420,4434.840000000000146,4594.860000000000582,1590365679.885999917984009,1590365679.885999917984009
89,1590365690,a198e5,41.023452758789062,-86.824584960937500,225.915316487438133,311.676879554864570,-10.403840000000001,EJM16   ,False,False,False,1420,4328.159999999999854,4488.180000000000291,1590365689.813999891281128,1590365689.813999891281128
90,1590365700,a198e5,41.036956787109375,-86.844726562500000,225.232490025984106,311.481388534662813,-10.403840000000001,EJM16   ,False,False,False,1420,4229.100000000000364,4381.500000000000000,1590365699.861000061035156,1590365699.983999967575073
