OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
67,1590364830,a390ff,44.268454858812234,-88.512575103015422,,,,AAY2110 ,True,True,False,4476,,,1590364826.696000099182129,1590364826.696000099182129
68,1590364830,adb8cb,42.166877358646715,-87.943832042605379,38.335571596002168,130.100907546212227,1.950720000000000,N9831G  ,False,False,False,5722,426.720000000000027,373.379999999999995,1590364829.151000022888184,1590364829.151000022888184
69,1590364830,a05646,42.034994868908896,-87.858432503633708,107.182280837531579,356.698134325564979,10.403840000000001,UAL931  ,False,False,False,6532,1249.680000000000064,1249.680000000000064,1590364829.424999952316284,1590364829.424999952316284
70,1590364830,abadd6,41.808006157309322,-87.665085903433862,127.707549778805173,62.402704131356288,12.354560000000001,SWA1384 ,False,False,False,1327,967.740000000000009,960.120000000000005,1590364824.655999898910522,1590364829.720000028610229
71,1590364830,a2bec7,41.794326782226562,-88.112036965110065,183.326939316727021,267.426640536823129,20.157440000000001,SWA1081 ,False,False,False,1374,4503.420000000000073,4648.199999999999818,1590364829.950999975204468,1590364829.967000007629395
72,1590364830,a21127,41.908859252929688,-88.952928022904814,243.699350104312089,67.929070998608154,0.000000000000000,ENY4267 ,False,False,False,2253,8839.200000000000728,9189.720000000001164,1590364829.950999975204468,1590364829.996999979019165
73,1590364830,a645b4,41.719253540039062,-87.904233065518497,145.656712906365698,196.834924107774270,13.980160000000001,GJS4520 ,False,False,False,1372,3398.519999999999982,3528.059999999999945,1590364829.641999959945679,1590364829.801000118255615
74,1590364830,abf3da,41.788627624511719,-87.745758403431296,63.685175209849270,43.363422958383282,-0.650240000000000,SWA282  ,True,False,False,1520,198.120000000000005,,1590364820.260999917984009,1590364829.973999977111816
75,1590364830,aaed7f,42.696258544921875,-88.317094282670439,78.399982855123127,175.860810744273806,0.000000000000000,N803F   ,False,False,False,2635,2468.880000000000109,2529.840000000000146,1590364829.520999908447266,1590364829.967000007629395
76,1590364840,adb8cb,42.164875612420552,-87.940382846566138,37.677535783083059,124.992020198558677,0.975360000000000,N9831G  ,False,False,False,5722,426.720000000000027,388.620000000000005,1590364838.759000062942505,1590364839.802999973297119
77,1590364840,a6d5e0,42.303497314453125,-87.913471568714499,104.020780338475447,149.376417975146097,-0.325120000000000,N54DB   ,False,False,False,2403,5760.720000000000255,5981.700000000000728,1590364839.793999910354614,1590364839.948999881744385
78,1590364840,a1d44e,41.758102158368644,-87.785871638808146,68.403643785433530,43.781124764868700,-3.901440000000000,SWA2132 ,False,False,False,1157,335.280000000000030,297.180000000000007,1590364826.436000108718872,1590364839.957000017166138
79,1590364840,a1e05f,41.630595578985698,-87.370435138081348,88.036084898453765,340.188522858452984,0.000000000000000,N22TP   ,False,False,False,4074,1089.660000000000082,1097.279999999999973,1590364839.640000104904175,1590364839.640000104904175
80,1590364840,a1c39a,41.795343948622879,-88.623834654342261,58.829095107875595,4.513988458001262,0.000000000000000,N2122M  ,False,False,False,5363,1089.660000000000082,1082.040000000000191,1590364816.779000043869019,1590364816.779000043869019
81,1590364840,a0a332,42.869350627317267,-87.882581438337070,139.052224306827100,222.901094066796446,17.881600000000002,FDX383  ,False,False,False,4326,2583.180000000000291,2644.140000000000327,1590364839.911999940872192,1590364839.941999912261963
82,1590364840,abf3da,41.788640426377114,-87.745742797851562,63.685175209849270,43.363422958383282,-0.650240000000000,SWA282  ,True,False,False,1520,,,1590364835.540999889373779,1590364836.967999935150146
83,1590364840,ad3098,41.790688724841097,-87.744800656340828,74.615664301365243,43.044318602477119,13.980160000000001,SWA1520 ,False,False,False,6530,259.080000000000041,198.120000000000005,1590364839.640000104904175,1590364839.776999950408936
84,1590364840,acc799,41.784322706319514,-87.750772875408813,,,,SWA1063 ,True,False,False,6560,,,1590364817.188999891281128,1590364817.188999891281128
85,1590364840,a209c0,41.358581542968750,-86.963989257812500,154.625299252015594,334.372742412866501,-10.403840000000001,AAY2986 ,False,False,False,703,2667.000000000000000,2788.920000000000073,1590364839.974999904632568,1590364839.974999904632568
86,1590364840,aa80a7,41.539947509765625,-87.163779518821002,79.164223345779618,242.102728969052350,0.650240000000000,N776PS  ,False,False,False,,815.340000000000032,800.100000000000023,1590364777.987999916076660,1590364807.447999954223633
87,1590364840,a21127,41.917098999023438,-88.925774314186810,244.369564166399755,67.862614422154408,0.325120000000000,ENY4267 ,False,False,False,2253,8839.200000000000728,9189.720000000001164,1590364839.996999979019165,1590364839.996999979019165
88,1590364840,a26fc9,41.645736694335938,-87.933571555397748,124.849952145974527,56.768288932020646,0.325120000000000,SWA312  ,False,False,False,2255,1234.440000000000055,1257.299999999999955,1590364839.776999950408936,1590364839.776999950408936
89,1590364840,4bb145,43.629129700741522,-85.310080392020097,248.944655520354530,228.602446751055226,0.650240000000000,THY6185 ,False,False,False,703,9753.600000000000364,10149.840000000000146,1590364839.697999954223633,1590364839.941999912261963
90,1590364840,a2bec7,41.793574963585804,-88.133473950763062,184.892347341627755,267.288854643514355,19.832320000000003,SWA1081 ,False,False,False,1374,4701.539999999999964,4861.560000000000400,1590364839.697999954223633,1590364839.911999940872192
91,1590364840,a390ff,44.268257011801509,-88.513010536752120,,,,AAY2110 ,True,True,False,4476,,,1590364839.793999910354614,1590364839.793999910354614
92,1590364840,a05646,42.044723510742188,-87.859226573597311,111.804908800913964,356.834793611189582,9.428480000000000,UAL931  ,False,False,False,6532,1348.740000000000009,1356.359999999999900,1590364839.424999952316284,1590364839.803999900817871
93,1590364840,abadd6,41.814743041992188,-87.647490067915498,131.598153834970020,63.535116167573328,15.280640000000002,SWA1384 ,False,False,False,1327,1104.900000000000091,1104.900000000000091,1590364837.671000003814697,1590364839.776999950408936
94,1590364840,aaed7f,42.689007258011124,-88.316409088844466,78.877871791512121,176.260496637068940,0.000000000000000,N803F   ,False,False,False,2635,2468.880000000000109,2529.840000000000146,1590364839.805000066757202,1590364839.941999912261963
95,1590364840,a645b4,41.708908081054688,-87.908415360884248,147.432865183438508,197.043933936315682,14.305280000000002,GJS4520 ,False,False,False,1372,3535.680000000000291,3665.220000000000255,1590364837.829999923706055,1590364839.911999940872192
96,1590364840,abf29f,41.801768157441735,-87.860668093659115,141.386021361835788,252.422116283334759,23.408640000000002,SWA195  ,False,False,False,6555,2011.680000000000064,2057.400000000000091,1590364838.693000078201294,1590364839.805000066757202
97,1590364840,a3c185,41.499206542968750,-87.467151988636374,51.354293387605289,312.157862116344347,0.975360000000000,N341FC  ,False,False,False,5320,1219.200000000000045,1226.819999999999936,1590364829.282999992370605,1590364832.211999893188477
98,1590364840,a198e5,39.419265747070312,-85.599617336107315,254.628993535463195,342.480241378793551,0.000000000000000,EJM16   ,False,False,False,2212,9151.620000000000800,9540.240000000001601,1590364839.934999942779541,1590364839.973999977111816
99,1590364840,abef2f,41.520629882812500,-88.271151455965935,139.420967952388452,63.245854527578253,-0.325120000000000,SWA6893 ,False,False,False,1210,1546.860000000000127,1577.340000000000146,1590364839.036999940872192,1590364839.503999948501587
100,1590364840,a23d25,39.821319580078125,-87.228459897248626,228.693359260509197,2.836660101125452,0.650240000000000,SWA399  ,False,False,False,3163,12199.620000000000800,12656.820000000001528,1590364839.989000082015991,1590364839.989000082015991
101,1590364840,abdd09,40.763327388440146,-82.539346868341624,210.067712975520777,287.236838398908617,0.000000000000000,SWA163  ,False,False,False,2750,12184.380000000001019,12633.960000000000946,1590364839.802999973297119,1590364839.936000108718872
102,1590364850,abdd09,40.768936157226562,-82.563110351562500,210.067712975520777,287.236838398908617,0.000000000000000,SWA163  ,False,False,False,2750,12184.380000000001019,12633.960000000000946,1590364849.891999959945679,1590364849.926000118255615
103,1590364850,abe4db,41.787348601777673,-87.746876561364445,,,,,True,False,False,,,,1590364849.746000051498413,1590364849.746000051498413
104,1590364850,a23d25,39.841174109507413,-87.227233886718750,228.668477291478638,2.707917485866199,0.000000000000000,SWA399  ,False,False,False,3163,12192.000000000000000,12649.200000000000728,1590364849.855999946594238,1590364849.982000112533569
105,1590364850,abef2f,41.525756835937500,-88.257605812766315,139.880530560589051,63.340712428434458,0.000000000000000,SWA6893 ,False,False,False,1210,1546.860000000000127,1577.340000000000146,1590364848.105999946594238,1590364849.315000057220459
106,1590364850,aaed7f,42.682210631289720,-88.315770348837191,78.877871791512121,176.260496637068940,0.000000000000000,N803F   ,False,False,False,2635,2468.880000000000109,2529.840000000000146,1590364849.447999954223633,1590364849.901999950408936
107,1590364850,abf3da,41.788640426377114,-87.745742797851562,63.685175209849270,43.363422958383282,-0.650240000000000,SWA282  ,True,False,False,1520,198.120000000000005,,1590364840.678999900817871,1590364849.424999952316284
108,1590364850,a21127,41.925018310546875,-88.899556940252126,244.846161614073509,67.907978439430480,-0.325120000000000,ENY4267 ,False,False,False,2253,8839.200000000000728,9189.720000000001164,1590364849.456000089645386,1590364849.792000055313110
109,1590364850,a2bec7,41.792770385742188,-88.156107122247874,186.433966171184295,267.311289591005050,19.832320000000003,SWA1081 ,False,False,False,1374,4907.280000000000655,5074.920000000000982,1590364849.775000095367432,1590364849.960000038146973
110,1590364850,abadd6,41.820761470471396,-87.631360431050098,134.131839550847957,63.828052634157935,15.930880000000000,SWA1384 ,False,False,False,1327,1264.920000000000073,1257.299999999999955,1590364848.671999931335449,1590364849.775000095367432
111,1590364850,a645b4,41.694625854492188,-87.914220636541188,148.909101575960619,196.869879737329768,13.329920000000001,GJS4520 ,False,False,False,1372,3665.220000000000255,3802.380000000000109,1590364849.026999950408936,1590364849.937000036239624
112,1590364850,a390ff,44.268245373742054,-88.513010536752120,,,,AAY2110 ,True,True,False,4476,,,1590364840.236999988555908,1590364840.236999988555908
113,1590364850,adb8cb,42.162780761718750,-87.936130870472311,39.665600716660272,123.896166563363934,-0.325120000000000,N9831G  ,False,False,False,5722,426.720000000000027,388.620000000000005,1590364849.874000072479248,1590364849.874000072479248
114,1590364850,a198e5,39.440551757812500,-85.608275040336252,257.236918443377704,342.543441866333126,0.000000000000000,EJM16   ,False,False,False,2212,9144.000000000000000,9532.620000000000800,1590364849.654999971389771,1590364849.891999959945679
