OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
62,1590365590,89902f,45.582275390625000,-94.276026283822375,244.422084100235026,124.191769059680212,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11612.880000000001019,1590365589.460999965667725,1590365589.970999956130981
63,1590365600,89902f,45.569824218750000,-94.249900259622677,244.422084100235026,124.191769059680212,0.000000000000000,EVA056  ,False,False,False,1612,11277.600000000000364,11612.880000000001019,1590365599.835999965667725,1590365599.835999965667725
64,1590365610,89902f,45.558883666992188,-94.226922756288104,244.422084100235026,124.191769059680212,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11612.880000000001019,1590365609.032999992370605,1590365609.174999952316284
65,1590365620,89902f,45.545359466035485,-94.198519078696648,243.996727195326542,124.259655926356686,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365619.559999942779541,1590365619.559999942779541
66,1590365630,89902f,45.532287597656250,-94.171207972935292,243.996727195326542,124.259655926356686,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365629.813999891281128,1590365629.924000024795532
67,1590365640,89902f,45.521713256835938,-94.149039132254472,243.996727195326542,124.259655926356686,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365639.265000104904175,1590365639.476999998092651
68,1590365650,89902f,45.508164228019069,-94.120743914348282,243.707494818483411,124.159694545669439,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365649.648000001907349,1590365649.709000110626221
69,1590365660,89902f,45.495986938476562,-94.095219203404042,243.707494818483411,124.159694545669439,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365659.357000112533569,1590365659.907999992370605
70,1590365670,89902f,45.483169555664062,-94.068538120814765,243.571714025699492,124.327779803259361,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365669.565000057220459,1590365669.857000112533569
71,1590365680,89902f,45.470718383789062,-94.042641775948653,243.571714025699492,124.327779803259361,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365679.976999998092651,1590365679.976999998092651
72,1590365690,89902f,45.459365844726562,-94.018968854631680,243.281976360945464,124.227724748092172,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365689.006999969482422,1590365689.724999904632568
73,1590365700,89902f,45.445953369140625,-93.991045270647305,243.571714025699492,124.327779803259361,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365699.964999914169312,1590365699.986000061035156
74,1590365710,89902f,45.433820304224042,-93.965930473513708,243.862192703184064,124.427596799233015,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365709.818000078201294,1590365709.818000078201294
75,1590365720,89902f,45.422607421875000,-93.942587716238847,243.571714025699492,124.327779803259361,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365718.966000080108643,1590365719.871000051498413
76,1590365730,89902f,45.409881591796875,-93.916168212890625,243.571714025699492,124.327779803259361,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365729.538000106811523,1590365729.538000106811523
77,1590365740,89902f,45.396531961731988,-93.888490258193599,243.571714025699492,124.327779803259361,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365739.911999940872192,1590365739.937999963760376
78,1590365750,89902f,45.384063720703125,-93.862609863281250,243.862192703184064,124.427596799233015,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11620.500000000000000,1590365749.943000078201294,1590365749.943000078201294
79,1590365760,89902f,45.371673066737287,-93.836975097656250,244.153409748565480,124.527175980882362,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11628.120000000000800,1590365759.959000110626221,1590365759.959000110626221
80,1590365770,89902f,45.359383275953391,-93.811585961318599,244.153409748565480,124.527175980882362,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11628.120000000000800,1590365769.878000020980835,1590365769.878000020980835
81,1590365780,89902f,45.346710205078125,-93.785443987165195,244.153409748565480,124.527175980882362,0.325120000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11628.120000000000800,1590365779.940999984741211,1590365779.963999986648560
82,1590365790,89902f,45.334899902343750,-93.761117117745528,244.577412081460238,124.458867899232786,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11628.120000000000800,1590365789.618999958038330,1590365789.980999946594238
83,1590365800,89902f,45.322448730468750,-93.735416957310292,244.577412081460238,124.458867899232786,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11628.120000000000800,1590365799.711999893188477,1590365799.785000085830688
84,1590365810,89902f,45.310270665055612,-93.710297375190521,244.577412081460238,124.458867899232786,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11628.120000000000800,1590365809.523999929428101,1590365809.651999950408936
85,1590365820,89902f,45.297866821289062,-93.684605189732167,244.577412081460238,124.458867899232786,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365819.417999982833862,1590365819.822000026702881
86,1590365830,89902f,45.285691083487819,-93.659519102515219,244.153409748565480,124.527175980882362,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365829.111000061035156,1590365829.957000017166138
87,1590365840,89902f,45.273028874801376,-93.633460068121167,243.729755648537292,124.595721628159723,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365839.375000000000000,1590365839.957000017166138
88,1590365850,89902f,45.260147094726562,-93.606916155133945,243.438031799983264,124.496051115964434,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365849.835999965667725,1590365849.938999891281128
89,1590365860,89902f,45.247518248477220,-93.580940060499245,243.014219601554828,124.564744297101100,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365859.960999965667725,1590365859.989000082015991
90,1590365870,89902f,45.235702514648438,-93.556823730468750,242.883499434523316,124.733529801123467,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365869.469000101089478,1590365869.881999969482422
91,1590365880,89902f,45.222930908203125,-93.530665806361640,243.306451600443097,124.664505885313346,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365879.944999933242798,1590365879.967000007629395
